Time	Fin	pitch rate	Az Demand	Az
1.31	-0.514604	0.162644	-1.62059	-0.011998
1.315	-0.511817	0.164357	-1.62262	-0.0125582
1.32	-0.508896	0.166076	-1.62262	-0.0131355
1.325	-0.505869	0.1678	-1.62465	-0.0137222
1.33	-0.502748	0.169529	-1.62465	-0.0143214
1.335	-0.499556	0.171264	-1.64439	-0.014936
1.34	-0.496291	0.173003	-1.64439	-0.0155695
1.345	-0.492953	0.174748	-1.64644	-0.0162161
1.35	-0.489545	0.176498	-1.64644	-0.0168747
1.355	-0.48607	0.178253	-1.64848	-0.0175443
1.36	-0.482527	0.180013	-1.64848	-0.0182256
1.365	-0.478917	0.181776	-1.65053	-0.0189181
1.37	-0.475279	0.183453	-1.65053	-0.019596
1.375	-0.471559	0.185202	-1.67021	-0.0206421
1.38	-0.46779	0.186901	-1.67021	-0.0218119
1.385	-0.463984	0.18855	-1.66519	-0.0229644
1.39	-0.460134	0.190159	-1.66519	-0.0240143
1.395	-0.456241	0.19174	-1.67429	-0.0249966
1.4	-0.4523	0.193302	-1.67429	-0.0259477
1.405	-0.448311	0.194849	-1.67636	-0.0268951
1.41	-0.444279	0.196381	-1.67636	-0.0278577
1.415	-0.440216	0.197899	-1.69417	-0.0288419
1.42	-0.436117	0.1994	-1.69417	-0.0298503
1.425	-0.431981	0.200884	-1.69626	-0.0308816
1.43	-0.427808	0.20235	-1.69626	-0.0319342
1.435	-0.423601	0.203796	-1.69834	-0.0330068
1.44	-0.419363	0.205223	-1.69834	-0.0340988
1.445	-0.415093	0.206629	-1.70043	-0.0352093
1.45	-0.410794	0.208014	-1.70043	-0.0363394
1.455	-0.40648	0.209377	-1.72142	-0.0374886
1.46	-0.402145	0.210718	-1.72142	-0.0386572
1.465	-0.397788	0.212036	-1.72353	-0.039845
1.47	-0.393411	0.213331	-1.72353	-0.0410522
1.475	-0.389018	0.214601	-1.72564	-0.0422786
1.48	-0.38461	0.215847	-1.72564	-0.0435242
1.485	-0.380189	0.217067	-1.72775	-0.0447893
1.49	-0.375755	0.218262	-1.72775	-0.0460736
1.495	-0.371323	0.21943	-1.74681	-0.0473772
1.5	-0.366886	0.220572	-1.74681	-0.0487
1.505	-0.362446	0.221686	-1.74894	-0.050042
1.51	-0.358003	0.222772	-1.74894	-0.0514029
1.515	-0.353562	0.223829	-1.75106	-0.0527828
1.52	-0.349123	0.224857	-1.75106	-0.0541815
1.525	-0.34469	0.225856	-1.75319	-0.0555991
1.53	-0.340262	0.226825	-1.75319	-0.0570354
1.535	-0.335854	0.227763	-1.7719	-0.0584903
1.54	-0.33146	0.22867	-1.7719	-0.0599638
1.545	-0.32708	0.229546	-1.77405	-0.0614556
1.55	-0.322717	0.23039	-1.77405	-0.0629655
1.555	-0.318374	0.231202	-1.77619	-0.0644934
1.56	-0.314053	0.231981	-1.77619	-0.0660388
1.565	-0.309756	0.232726	-1.77834	-0.0676022
1.57	-0.305483	0.233439	-1.77834	-0.0691832
1.575	-0.301249	0.234117	-1.79664	-0.0707815
1.58	-0.297048	0.234761	-1.79664	-0.072397
1.585	-0.292881	0.235371	-1.79881	-0.0740294
1.59	-0.288749	0.235946	-1.79881	-0.0756785
1.595	-0.284657	0.236485	-1.80097	-0.0773436
1.6	-0.280606	0.23699	-1.80097	-0.0790252
1.605	-0.276598	0.237458	-1.80313	-0.0807226
1.61	-0.272634	0.237891	-1.80313	-0.0824359
1.615	-0.268727	0.238287	-1.82097	-0.0841643
1.62	-0.264873	0.238648	-1.82097	-0.0859081
1.625	-0.261072	0.238971	-1.82315	-0.0876667
1.63	-0.257326	0.239258	-1.82315	-0.0894396
1.635	-0.253638	0.239509	-1.82533	-0.0912267
1.64	-0.25001	0.239722	-1.82533	-0.0930276
1.645	-0.246445	0.239899	-1.82751	-0.0948421
1.65	-0.242942	0.240038	-1.82751	-0.0966697
1.655	-0.239515	0.240141	-1.84483	-0.0985109
1.66	-0.236159	0.240206	-1.84483	-0.100363
1.665	-0.232875	0.240234	-1.84703	-0.102229
1.67	-0.229664	0.240226	-1.84703	-0.104105
1.675	-0.22653	0.24018	-1.84922	-0.105994
1.68	-0.223474	0.240097	-1.84922	-0.107893
1.685	-0.220498	0.239978	-1.85142	-0.109803
1.69	-0.217602	0.239822	-1.85142	-0.111723
1.695	-0.2148	0.23963	-1.86818	-0.113653
1.7	-0.212085	0.239401	-1.86818	-0.115592
1.705	-0.209459	0.239136	-1.87039	-0.11754
1.71	-0.206923	0.238836	-1.87039	-0.119496
1.715	-0.20448	0.2385	-1.8726	-0.12146
1.72	-0.202131	0.238129	-1.8726	-0.123432
1.725	-0.199879	0.237723	-1.87481	-0.125409
1.73	-0.197722	0.237282	-1.87481	-0.127396
1.735	-0.195673	0.236808	-1.89098	-0.129388
1.74	-0.193727	0.236299	-1.89098	-0.131386
1.745	-0.191884	0.235758	-1.8932	-0.133388
1.75	-0.190145	0.235183	-1.8932	-0.135395
1.755	-0.188512	0.234577	-1.89542	-0.137407
1.76	-0.186987	0.233938	-1.89542	-0.139423
1.765	-0.185571	0.233268	-1.89764	-0.141442
1.77	-0.184264	0.232568	-1.89764	-0.143464
1.775	-0.183076	0.231838	-1.9132	-0.145488
1.78	-0.182002	0.231078	-1.9132	-0.147515
1.785	-0.181042	0.230291	-1.91543	-0.149535
1.79	-0.180196	0.229477	-1.91543	-0.151553
1.795	-0.179466	0.228636	-1.91767	-0.15358
1.8	-0.178853	0.22777	-1.91767	-0.155577
1.805	-0.178357	0.226879	-1.9199	-0.157619
1.81	-0.177978	0.225962	-1.9199	-0.159664
1.815	-0.177727	0.225019	-1.93482	-0.161702
1.82	-0.177598	0.224052	-1.93482	-0.163736
1.825	-0.177589	0.223064	-1.93707	-0.165775
1.83	-0.177699	0.222055	-1.93707	-0.167805
1.835	-0.177933	0.221023	-1.93932	-0.169796
1.84	-0.178289	0.219972	-1.93932	-0.171807
1.845	-0.178768	0.218901	-1.94156	-0.173816
1.85	-0.179367	0.217813	-1.94156	-0.175822
1.855	-0.180096	0.216708	-1.95586	-0.177825
1.86	-0.180948	0.215587	-1.95586	-0.179819
1.865	-0.181924	0.214452	-1.95812	-0.181807
1.87	-0.183021	0.213303	-1.95812	-0.18379
1.875	-0.184242	0.212143	-1.96038	-0.185764
1.88	-0.185583	0.210971	-1.96038	-0.187734
1.885	-0.187047	0.209789	-1.96263	-0.189723
1.89	-0.18863	0.208596	-1.96263	-0.191673
1.895	-0.190341	0.207395	-1.97631	-0.193617
1.9	-0.192173	0.206188	-1.97631	-0.195548
1.905	-0.194123	0.204976	-1.97858	-0.197497
1.91	-0.196192	0.203759	-1.97858	-0.19942
1.915	-0.198379	0.202538	-1.98085	-0.201328
1.92	-0.200681	0.201316	-1.98085	-0.203254
1.925	-0.2031	0.200092	-1.98311	-0.205142
1.93	-0.20563	0.19887	-1.98311	-0.207016
1.935	-0.208279	0.197652	-1.9962	-0.208875
1.94	-0.211039	0.196438	-1.9962	-0.21073
1.945	-0.213909	0.195231	-1.99848	-0.212579
